"","B_SEPSIS.C.7","B_PNEUM.C.7","B_HIVAIDS.C.7","B_DIARR.C.7","B_MALAR.C.7","B_MEAS.C.7","B_MENING.C.7","B_TETAN.C.7","B_TB_PUL.C.7","B_PERTUS.C.7","B_HEMFEV.C.7","B_INF_OU.C.7","B_ORAL_M.C.7","B_DIG_M.C.7","B_RESP_M.C.7","B_BREA_M.C.7","B_REPR_M.C.7","B_OU_M.C.7","B_ANAEM.C.7","B_MALNUT.C.7","B_DIABET.C.7","B_CARD_AC.C.7","B_SICKLE.C.7","B_STROKE.C.7","B_CARD_OU.C.7","B_COPD.C.7","B_ASTHM.C.7","B_AC_ABD.C.7","B_LIVER.C.7","B_KIDNEY.C.7","B_EPILEP.C.7","B_NCD_OU.C.7","B_CONGEN.C.7","B_P_SML.C.7","B_P_ASPH.C.7","B_P_PNEU.C.7","B_P_SEPS.C.7","B_P_OU.C.7","B_STB_F.C.7","B_STB_M.C.7","B_ACC_TRF.C.7","B_ACC_TRO.C.7","B_FALL.C.7","B_DROWN.C.7","B_FIRE.C.7","B_VENOM.C.7","B_FORCE.C.7","B_POIS.C.7","B_SUIC.C.7","B_ASSAULT.C.7","B_EXT_OU.C.7","B_ECTOP.C.7","B_ABORT.C.7","B_PIH.C.7","B_HAEM.C.7","B_OBS_LB.C.7","B_O_SEPS.C.7","B_PANAEM.C.7","B_UT_RUP.C.7","B_MAT_OU.C.7"
"B_SEPSIS.C.7",0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"B_PNEUM.C.7",0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"B_HIVAIDS.C.7",0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"B_DIARR.C.7",0,0,0,0,0.814696810096255,0.825912888544334,0.817641691449497,0.810394001681201,1,1,1,0.783863794130015,1,1,1,1,1,1,1,0.675188469937571,0.799892700774925,0.752889330711292,0.767293005805566,1,0.790440299913906,1,1,0.664078562643219,1,1,0.81879317159923,1,0.829337291602386,0.851077359368141,0.864711944741528,0.835484859153391,0.815936772880776,0.815976561630954,0.876885812055093,0.869059035748524,0.836782236352135,0.813300462794974,0.834913936837887,0.839033369982697,0.847937394435255,0.834811086137694,0.840207009099449,0.787472977750997,1,0.826661748403411,0.794711114009414,1,1,1,1,1,1,1,1,1
"B_MALAR.C.7",0,0,0,0,0,0.593039296015562,0.496472834983574,0.656819378056202,1,1,1,0.393211744747473,1,1,1,1,1,1,1,0.664914522344433,0.721498439273079,0.604906733476896,0.578741950985464,1,0.632420231814673,1,1,0.650286498741988,1,1,0.704412302634209,1,0.771669650980204,0.737816902375449,0.727170181581983,0.5441962119672,0.585862049142815,0.686867660020331,0.825453155445265,0.809999195219878,0.67027310238238,0.68840203579357,0.70914267553034,0.694603200749481,0.741284297175234,0.710448456632373,0.724193535420338,0.708290018981224,1,0.735100766847679,0.666252829045904,1,1,1,1,1,1,1,1,1
"B_MEAS.C.7",0,0,0,0,0,0,0.649836992713168,0.702015291961,1,1,1,0.494823710322612,1,1,1,1,1,1,1,0.774927283939836,0.675877612190227,0.704543791520398,0.733908829378407,1,0.715482494443727,1,1,0.756265077996077,1,1,0.817111730836827,1,0.822624479511834,0.839010887825485,0.810142824463843,0.675200200064216,0.726964750161794,0.781825439597677,0.846961140352376,0.83415217984276,0.81407445600318,0.789365940157251,0.816118702024613,0.826684992203688,0.739525918314596,0.811438436567031,0.822882552870994,0.821739119812804,1,0.818840195750127,0.780627692463559,1,1,1,1,1,1,1,1,1
"B_MENING.C.7",0,0,0,0,0,0,0,0.649749349921415,1,1,1,0.422303098771135,1,1,1,1,1,1,1,0.815975763241013,0.778821055472446,0.690130337879636,0.740946584872913,1,0.736242768997719,1,1,0.715517730739395,1,1,0.665588614062827,1,0.808034310869556,0.795709509766657,0.831037955711968,0.65695899488528,0.636108718323906,0.786205131674724,0.845685295153602,0.833258925955657,0.808560674231715,0.793497386546742,0.819581842200048,0.833768795521599,0.839761751390896,0.827494802038621,0.836412252411192,0.768467271437287,1,0.821047586160609,0.774295584919664,1,1,1,1,1,1,1,1,1
"B_TETAN.C.7",0,0,0,0,0,0,0,0,1,1,1,0.537837324237565,1,1,1,1,1,1,1,0.643958125540436,0.642582123763619,0.447663047234423,0.504820504603308,1,0.508912771364916,1,1,0.67363552685794,1,1,0.695802275026954,1,0.63452631260975,0.61538894496744,0.656181459753717,0.608174200435323,0.511886463823402,0.431731565632886,0.632297404607113,0.58687127126554,0.724471848102304,0.685235864042418,0.712632670163116,0.730858201485145,0.74375843381666,0.718006637616314,0.721263016837737,0.717663067640616,1,0.740236172003388,0.633685503031396,1,1,1,1,1,1,1,1,1
"B_TB_PUL.C.7",0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"B_PERTUS.C.7",0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"B_HEMFEV.C.7",0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"B_INF_OU.C.7",0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0.69610513941326,0.589956353401463,0.536562990396201,0.583722741005787,1,0.573845980574532,1,1,0.619942631421529,1,1,0.726138633694198,1,0.7462466574022,0.774546379922073,0.773865833023508,0.598732355291913,0.582818540005859,0.695450704411711,0.818334987867748,0.799705593025956,0.722052435803843,0.706400466753813,0.73229137080785,0.752251200420804,0.69592717961845,0.740887442976568,0.747580429902819,0.727173742848372,1,0.754771193887382,0.663539200104391,1,1,1,1,1,1,1,1,1
"B_ORAL_M.C.7",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"B_DIG_M.C.7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"B_RESP_M.C.7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"B_BREA_M.C.7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"B_REPR_M.C.7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"B_OU_M.C.7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"B_ANAEM.C.7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"B_MALNUT.C.7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.654661516964791,0.566929557489748,0.504021827026395,1,0.581939064075988,1,1,0.706606471100109,1,1,0.726135962493879,1,0.757417114668478,0.752916985913805,0.788288394956394,0.799317422642427,0.784126923801171,0.668346420581167,0.807769065408197,0.785867349999058,0.688020894036158,0.680556609410823,0.723070691947385,0.703582528770495,0.664049490051225,0.724455508854868,0.723687538039734,0.725096241346013,1,0.741754100680257,0.631005250727231,1,1,1,1,1,1,1,1,1
"B_DIABET.C.7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.47633078344079,0.428750923891311,1,0.41176092986609,1,1,0.595584354939455,1,1,0.665377851300452,1,0.632600926836438,0.726306232269901,0.764883172513926,0.766130706906772,0.725154764206006,0.629249171701167,0.816427185618219,0.797000976685154,0.699217596034935,0.665829405968345,0.691554743350287,0.701223991240533,0.633104136481098,0.693246284603434,0.693019878130667,0.691075789168557,1,0.714197201849695,0.608937959142281,1,1,1,1,1,1,1,1,1
"B_CARD_AC.C.7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.323740531171471,1,0.285088454527863,1,1,0.551996609469839,1,1,0.572717909973938,1,0.604350943787831,0.661349497520403,0.690510704499739,0.681392836440502,0.641758040149421,0.521445327677939,0.750992695245446,0.722558780230513,0.577572171795743,0.546988498617135,0.593753484634483,0.578433298613503,0.633669726302188,0.597151226076991,0.597922986280441,0.58467595636698,1,0.616075761180132,0.476514499987725,1,1,1,1,1,1,1,1,1
"B_SICKLE.C.7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.182036456620595,1,1,0.515484560316186,1,1,0.609582934227198,1,0.564371460160369,0.660271446338927,0.704077170763906,0.710778403356903,0.666637383138759,0.520352695417698,0.753263648427094,0.724454747711611,0.61254263133336,0.579355999999097,0.597642819382622,0.612633600050588,0.635397290479993,0.600913823580417,0.59975429521283,0.603051713676014,1,0.645302295334856,0.487170785914029,1,1,1,1,1,1,1,1,1
"B_STROKE.C.7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"B_CARD_OU.C.7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.516696466571092,1,1,0.617983707147734,1,0.567824458256683,0.696747140959551,0.716268461230434,0.68555515156165,0.675861136060387,0.555812447887391,0.789858680937813,0.765037550117946,0.648584950360414,0.613846466188495,0.636051572837007,0.650191208940653,0.664027229766193,0.635984989952237,0.638558739187549,0.63977685432085,1,0.675018544340572,0.529920740531987,1,1,1,1,1,1,1,1,1
"B_COPD.C.7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"B_ASTHM.C.7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"B_AC_ABD.C.7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.713519813501746,1,0.668828291009922,0.75751643639063,0.783443314323901,0.73874582040934,0.698429136915157,0.665586988774653,0.831929455065621,0.816244986191291,0.725686263674559,0.69907415754612,0.721705884465934,0.731979226407631,0.745612201938477,0.725076527120461,0.726976704501168,0.709793858700811,1,0.737244052323891,0.650707726591539,1,1,1,1,1,1,1,1,1
"B_LIVER.C.7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"B_KIDNEY.C.7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"B_EPILEP.C.7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.734251720515419,0.57986569032578,0.769183819741182,0.786152505397826,0.754192941826451,0.684481445152592,0.829826081524233,0.814191286776181,0.731944734848894,0.701224289531197,0.723824572095984,0.728759838133819,0.742512519363426,0.724978750533723,0.723758471736778,0.730848460660979,1,0.74154390474916,0.673561104688106,1,1,1,1,1,1,1,1,1
"B_NCD_OU.C.7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"B_CONGEN.C.7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.647580023315079,0.681484236202742,0.687066755682767,0.648362806886834,0.561623857974296,0.668477342169178,0.639866103790024,0.74925377210149,0.719057968643567,0.739381312524239,0.748384834247022,0.757088757340753,0.740405102638373,0.742473973912098,0.739196126926712,1,0.749750104776168,0.693980374790245,1,1,1,1,1,1,1,1,1
"B_P_SML.C.7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.523573611952349,0.622836421470131,0.567038321215473,0.438626514469309,0.574371620390336,0.536910554341894,0.747852844959798,0.721636804839569,0.737065339593799,0.74580589832333,0.751625541741823,0.737709329170339,0.740350695569199,0.746030495191877,1,0.752164240528227,0.70340403539303,1,1,1,1,1,1,1,1,1
"B_P_ASPH.C.7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.513167432283338,0.618873043758839,0.464328071861344,0.510735629540308,0.627807687677288,0.773645103746051,0.74939928833676,0.765348433886542,0.772780771839336,0.776577823407141,0.733331312109103,0.768068170267928,0.773058282523111,1,0.774456724880809,0.740243127154421,1,1,1,1,1,1,1,1,1
"B_P_PNEU.C.7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.425990183061826,0.543141052273122,0.687739825309999,0.666578693944948,0.788742643921786,0.76887578415347,0.786121615334533,0.798829357781056,0.80134595969907,0.768822728842864,0.795380039570523,0.789097305878828,1,0.796176223490889,0.765712598891014,1,1,1,1,1,1,1,1,1
"B_P_SEPS.C.7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.455769759382945,0.633728962602789,0.606905283964449,0.754986496812497,0.732969700361916,0.75034649292148,0.766535457154741,0.772415354893219,0.756129511520037,0.761086984265133,0.757238457526792,1,0.767354985755512,0.719464782572191,1,1,1,1,1,1,1,1,1
"B_P_OU.C.7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.47997376249343,0.486144273530966,0.676865627740472,0.64714199343834,0.661475300388601,0.676304654273324,0.680044483359381,0.660559611146462,0.665701239166706,0.678803087960025,1,0.693649670934377,0.598481041208624,1,1,1,1,1,1,1,1,1
"B_STB_F.C.7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.35535132334756,0.810861457462633,0.782551889494412,0.801535250876445,0.809998487711099,0.813151876276861,0.802149364199717,0.804864340700527,0.811190100735886,1,0.805205818239383,0.778130495882425,1,1,1,1,1,1,1,1,1
"B_STB_M.C.7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.794496542248076,0.764356729334642,0.783850334689854,0.793462849630258,0.797593726680911,0.784754606213848,0.787441116779963,0.794942381920121,1,0.790968184324512,0.755464120573121,1,1,1,1,1,1,1,1,1
"B_ACC_TRF.C.7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.431988923700317,0.459828892573511,0.430591233436848,0.487372523530141,0.465055546274501,0.462713430879496,0.476938718814651,1,0.504138975556989,0.35970365891514,1,1,1,1,1,1,1,1,1
"B_ACC_TRO.C.7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.440078429239333,0.4334240974011,0.468023609228187,0.443674288115477,0.441101761871384,0.456026806170753,1,0.487111768015623,0.336804510621785,1,1,1,1,1,1,1,1,1
"B_FALL.C.7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.458941085835115,0.482622882415473,0.448134157699838,0.445168108148145,0.461038739116392,1,0.511539596221174,0.336919508692003,1,1,1,1,1,1,1,1,1
"B_DROWN.C.7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.498375879549284,0.463083946533099,0.460300728780654,0.475087518764137,1,0.503748017480817,0.361067293807841,1,1,1,1,1,1,1,1,1
"B_FIRE.C.7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.487317420137311,0.485254544900273,0.502696961791873,1,0.540499927067797,0.378875591948655,1,1,1,1,1,1,1,1,1
"B_VENOM.C.7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.448230309747235,0.463818541704768,1,0.513908848801175,0.342199649069667,1,1,1,1,1,1,1,1,1
"B_FORCE.C.7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.466865334813292,1,0.512402161835763,0.339968020353904,1,1,1,1,1,1,1,1,1
"B_POIS.C.7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.51770158438171,0.34076538042618,1,1,1,1,1,1,1,1,1
"B_SUIC.C.7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
"B_ASSAULT.C.7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.440438395422942,1,1,1,1,1,1,1,1,1
"B_EXT_OU.C.7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
"B_ECTOP.C.7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
"B_ABORT.C.7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
"B_PIH.C.7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
"B_HAEM.C.7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
"B_OBS_LB.C.7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
"B_O_SEPS.C.7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
"B_PANAEM.C.7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"B_UT_RUP.C.7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"B_MAT_OU.C.7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
